bank,name,aspect,sentiment,quote
polus_bank,Дмитрий,ux,negative,И ещё вот эти ненужные рекомендации кредитов — сразу снимают премиальность.
polus_bank,Дмитрий,support,negative,поддержка слабая.
polus_bank,Дмитрий,price,negative,У меня один раз списали двойную комиссию.
polus_bank,Ольга,speed,negative,Недавно график курса валют не загружался — пришлось перезагружать.
polus_bank,Ольга,ux,positive,"Функционал богатый: и биржевые котировки смотреть, и налоги платить."
polus_bank,Ольга,ux,negative,"Меня раздражает, что при смене устройства нужно проходить полную верификацию с паспортом."
polus_bank,Ольга,support,negative,"Если проблема сложная, то переводят от одного к другому. Теряешь кучу времени."
polus_bank,Ольга,price,positive,кэшбэк у «Полюса» лучше по премиуму
sfera_bank,Алексей,price,positive,Сфера дешевле
sfera_bank,Алексей,speed,negative,приложение зависает на этапе подтверждения
sfera_bank,Алексей,ux,positive,"дизайн современный, всё понятно"
sfera_bank,Алексей,support,negative,Написал в чат — бот посоветовал переустановить
sfera_bank,Марина,speed,negative,"иногда переключаешься между счетами, а оно тупит секунды три"
sfera_bank,Марина,ux,positive,"внешне классно, я быстро привыкла"
sfera_bank,Марина,support,negative,в чате ответили через 40 минут
sfera_bank,Дмитрий,price,positive,Сфера дешевле
sfera_bank,Дмитрий,speed,negative,переводы между юрлицами — просто кошмар
sfera_bank,Дмитрий,ux,negative,Сканер чеков через камеру — убожество
sfera_bank,Дмитрий,support,negative,Поддержка сказала: «Заполните форму на сайте»
sfera_bank,Елена,price,positive,рекомендую «Сферу» коллегам из-за низких тарифов
sfera_bank,Елена,speed,negative,уведомления иногда приходят с опозданием на час
sfera_bank,Елена,ux,positive,быстро сформировать платёжку
sfera_bank,Елена,support,negative,поддержка — просто атас
strela_bank,Дмитрий,price,positive,Ещё плюс — кэшбэк неплохой за повседневные покупки. Раз в месяц приятно получить.
strela_bank,Дмитрий,speed,negative,У меня тоже было: перевод на карту другого банка ушёл полтора часа.
strela_bank,Дмитрий,ux,negative,И ещё: почему нет тёмной темы? Глаза вечером выжигает.
strela_bank,Дмитрий,support,negative,"Согласен, чатбот бесполезен. Пытался узнать про лимиты — отвечает шаблонно. Пришлось писать оператор"
strela_bank,Екатерина,price,neutral,"Да, кэшбэк радует. Но хотелось бы больше категорий, а то везде 1%."
strela_bank,Екатерина,speed,negative,"Но вот push-уведомления приходят с задержкой, иногда часами."
strela_bank,Екатерина,ux,negative,"А меня раздражает, что приложение вылетает, когда переходишь в раздел «Бонусы». Постоянно крашится."
strela_bank,Екатерина,support,positive,"Написала в чат — ответили через 20 минут, но решили проблему быстро."
strela_bank,Алексей,speed,negative,"На днях переводил деньги другу, деньги списались, а у него появились только через час. Это жесть!"
strela_bank,Алексей,ux,negative,А ещё — улучшить сканер QR-кодов. Он иногда не срабатывает в темноте.
strela_bank,Алексей,support,negative,"А мне поддержка не нравится. Когда была задержка перевода, я звонил на горячую линию. Ждал 10 минут,"
strela_bank,Мария,speed,negative,"Но соглашусь, бывают лаги."
strela_bank,Мария,ux,negative,"Меня больше бесит, что нет нормального поиска по операциям. Иногда нужно найти старый платёж — листа"
strela_bank,Мария,support,positive,"Я обращалась один раз по поводу списания за подписку, которое не должно было быть. Девушка в чате вс"
vector_bank,Анна,speed,negative,"бывает, что оно тупит, особенно когда нужна срочная операция."
vector_bank,Анна,price,positive,кэшбэк хороший. В прошлом месяце получила 500 рублей кэшбэком на продукты.
vector_bank,Анна,ux,positive,"приложение красивое, оформление приятное."
vector_bank,Анна,ux,negative,"А ещё реклама кредитов и страховок внутри приложения. Я понимаю, что банку нужно зарабатывать, но ко"
vector_bank,Дмитрий,price,positive,"Нравится, что можно пополнить карту без комиссии с карт других банков."
vector_bank,Дмитрий,speed,negative,"Самое бесявое – это когда переводишь деньги, а они висят в статусе «обработка» по полчаса."
vector_bank,Дмитрий,ux,negative,"ещё раздражает, что после обновления пропали некоторые функции, например, быстрые шаблоны."
vector_bank,Елена,speed,negative,"Но иногда позарез нужно что-то сделать, а оно зависает."
vector_bank,Елена,ux,positive,"Мне нравится, что есть история операций и категории трат. Это удобно для планирования бюджета."
vector_bank,Елена,support,negative,"Я писала в чат по поводу ошибочного списания – ответили через три дня, и то не решили проблему."
vector_bank,Сергей,speed,negative,приложение вылетает при сканировании QR-кода.
vector_bank,Сергей,ux,negative,иконки какие-то странные.
vector_bank,Сергей,security,negative,"вечно просят подтвердить операцию кодом из смс, хотя стоит биометрия. Двойная аутентификация бесит."
vector_bank,Сергей,ux,positive,"Мне нравится, что в приложении можно сразу заказать справку или выписку."
